Responsible Party,part_number,part_name,qty,Something,unit,QTY Per Unit,QTY per ASSY,Price Per Unit,Price Per Piece,Total PO Price,Website Link,Ordered?,PO#,Arrived?,QTY Multiplier,Comments,Multiplier,2,2,1,2,2,2,2,2,2
,91251A356,"Black-Oxide Alloy Steel Socket Head Screw  10-32 Thread Size  9/16"" Long",38,,,,,$11.19 ,,,,,,,,,,,,,,,,,,
,90044A523,10-32 2 1/4 in screw,0,,,,,$6.48 ,$0.65 ,,https://www.mcmaster.com/90044a523,,,,,,,,,,,,,,,
incorrect description,91286A113,"High-Strength Grade 8 Steel Hex Head Screw  Zinc-Aluminum Coated  1/4""-20 Thread Size  1-1/4"" Long",0,,,,,$16.64 ,$0.33 ,,https://www.mcmaster.com/91286a113,,,,,,,,,,,,,,,
,91251A108,"Black-Oxide Alloy Steel Socket Head Screw
4-40 Thread Size  3/8"" Long",0,,,,,$8.77 ,$0.09 ,,https://www.mcmaster.com/91251a108,,,,,,,,,,,,,,,
,95505A601,"Medium-Strength Steel Hex Nut  Grade 5  1/4""-20 Thread Size",0,,,,,$3.90 ,$0.04 ,,https://www.mcmaster.com/95505a601,,,,,,,,,,,,,,,
,91251A345,"Black-Oxide Alloy Steel Socket Head Screw  10-32 Thread Size  3/4"" Long",96,,,,,$11.24 ,,,,,,,,,,,,,,,,,,
,91251A354,"Black-Oxide Alloy Steel Socket Head Screw
10-32 Thread Size  2-1/4"" Long  Partially Threaded",38,,,,,$10.81 ,,,,,,,,,,,,,,,,,,
,91251A359,"Black-Oxide Alloy Steel Socket Head Screw
10-32 Thread Size  2-3/4"" Long  Partially Threaded",14,,,,,$10.57 ,,,,,,,,,,,,,,,,,,
fix packs and units,97526A130,"Domed Head Blind Rivets 1/8"" Diameter  for 0.188""-0.25"" Material Thickness. 250 pack",19,,,,,$13.12 ,$0.05 ,,https://www.mcmaster.com/97526a130-97526A010,,,,,,,,,,,,,,,
,E18-D80NK,,0,,,,,,,,,,,,,,,,,,,,,,,
,BRG-0001,Swyft Bearing,0,,,,,$4.99 ,$4.99 ,,,,,,,,,,,,,,,,,
,am-3480,"4in Compliant Wheels 60A Durometer (Black) 1/2"" Hex",0,,,,,$9.00 ,,,,,,,,,,,,,,,,,,
,2020-1073-006-100,FLYWHEEL TUBE,0,,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,2020-1073-006-106,WHEEL RETAINING RING,0,,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,93330A463,,0,,,,,,,,,,,,,,,,,,,,,,,
,91125A044,,0,,,,,,,,,,,,,,,,,,,,,,,
,R3-ZZ PRX,R3-ZZ PRX bearing  miniture ball,2,,,,,,,,,,,,,,,,,,,,,,,
,R4A-ZZ-PRX,,0,,,,,,,,,,,,,,,,,,,,,,,
,474489,R4-ZZ bearing,5,,,,,,,,,,,,,,,,,,,,,,,
,474485,R2-ZZ bearing,8,,,,,,,,,,,,,,,,,,,,,,,
,93330A542,,0,,,,,,,,,,,,,,,,,,,,,,,
,2020-1073-005-001,,0,,,,,,,,,,,,,,,,,,,,,,,
,COM-13716,Sparkfun FemtoBuck LED Driver,0,,,,,$7.95 ,,,,,,,,,,,,,,,,,,
,SEN-15325,Open MV Camera,0,,,,,$65.00 ,,,,,,,,,,,,,,,,,,
,2020-1073-005-073,,0,,,,,,,,,,,,,,,,,,,,,,,
,2020-1073-005-094,,0,,,,,,,,,,,,,,,,,,,,,,,
,2020-1073-005-033,,0,,,,,,,,,,,,,,,,,,,,,,,
,2020-1073-005-069,,0,,,,,,,,,,,,,,,,,,,,,,,
,2020-1073-005-057,,0,,,,,,,,,,,,,,,,,,,,,,,
,19-676768,CTR Cancoder,10,,,,,,,,,,,,,,,,,,,,,,,
,217-4973,,0,,,,,,,,,,,,,,,,,,,,,,,
,2020-1073-005-072,,0,,,,,,,,,,,,,,,,,,,,,,,
,2020-1073-005-055,,0,,,,,,,,,,,,,,,,,,,,,,,
,2020-1073-005-002,,0,,,,,,,,,,,,,,,,,,,,,,,
,2020-1073-005-018,,0,,,,,,,,,,,,,,,,,,,,,,,
,2020-1073-005-015- Plate,Plate Weld Mount,0,,,,,$0.00 ,,,,,,,,,,,,,,,,,,
,217-2702,"20T Aluminum Spur Gear (20 DP  1/2"" Hex Bore)",2,,,,,$9.99 ,$9.99 ,,https://www.vexrobotics.com/1-2-hex-bore.html,,,,,,,,,,,,,,,
,217-2708,"40T Aluminum Spur Gear (20 DP  1/2"" Hex Bore)",10,,,,,$12.99 ,$12.99 ,,https://www.vexrobotics.com/1-2-hex-bore.html,,,,,,,,,,,,,,,
,217-2710,"44T Aluminum Spur Gear (20DP  1/2"" Hex Bore)",4,,,,,$14.99 ,,,,,,,,,,,,,,,,,,
,217-5475,"58T Aluminum Spur Gear (20 DP  1/2"" Hex Bore)",23,,,,,$19.99 ,,,,,,,,,,,,,,,,,,
,217-2642,"16T Aluminum Hub Sprocket (#25 Chain  1/2"" Hex Bore)",55,,,,,$7.99 ,$7.99 ,,https://www.vexrobotics.com/25-sprockets.html,,,,,,,,,,,,,,,
,217-6368,8T Steel Spur Gear (20 DP  10T Center Distance  BAG Motor),0,,,,,$6.99 ,$6.99 ,,https://www.vexrobotics.com/20dp-motorpinions.html,,,,,,,,,,,,,,,
,217-2648,"42T Sprocket plate (#35 Chain  1/2"" Hex Bore)",4,,,,,,,,,,,,,,,,,,,,,,,
,217-5844,"15T Sprocket hub (#35 Chain  1/2"" Hex Bore)",1,,,,,,,,,,,,,,,,,,,,,,,
,217-3211,"34T Gear (3/8"" Hex Bore)",1,,,,,,,,,,,,,,,,,,,,,,,
,217-2706,"34T Gear (1/2"" Hex Bore)",2,,,,,,,,,,,,,,,,,,,,,,,
,217-3212,34T Gear  Ball shifter w/ bushing,2,,,,,,,,,,,,,,,,,,,,,,,
,217-3417,"40T dog gear  1/2"" bearing",4,,,,,,,,,,,,,,,,,,,,,,,
,217-5866,"40T Steel Spur Gear (32 DP  3/8"" Hex Bore)",0,,,,,$11.99 ,,,,,,,,,,,,,,,,,,
,217-5859,12T Steel Spur Gear (32 DP  RS775 Motor),0,,,,,$6.99 ,,,,,,,,,,,,,,,,,,
,217-6958,Falcon Motor Short Shaft,6,,,,,$12.99 ,,,,,,,,,,,,,,,,,,
,217-5994,,0,,,,,,,,,,,,,,,,,,,,,,,
,217-2733,"0.375"" ID x 0.875"" OD x 0.280"" WD (Flanged Bearing)",2,,,,,$2.99 ,$2.99 ,,https://www.vexrobotics.com/bearings.html,,,,,,,,,,,,,,,
,217-3239,"0.375"" ID x 0.875"" OD x 0.281"" WD (Radial Bearing)",0,,,,,$2.99 ,$2.99 ,,https://www.vexrobotics.com/bearings.html,,,,,,,,,,,,,,,
,217-5861,"20T Steel Spur Gear (32 DP  3/8"" Hex Bore)",0,,,,,$10.99 ,,,,,,,,,,,,,,,,,,
,217-3229,"30T x 9mm Wide Double Flange Aluminum Pulley (HTD 5mm  1/2” Hex Bore)
",2,,,,,$15.99 ,$15.99 ,,https://www.vexrobotics.com/htdpulleys.html,,,,,,,,,,,,,,,
,217-3227,24t 9mm 1/2 in hex pulley,0,,,,,$12.99 ,$12.99 ,,https://www.vexrobotics.com/htdpulleys.html,,,,,,,,,,,,,,,
,217-3225,18T x 9mm Wide Double Flange Aluminum Pulley (HTD 5mm  1/2” Hex Bore),0,,,,,$12.99 ,$12.99 ,,https://www.vexrobotics.com/htdpulleys.html,,,,,,,,,,,,,,,
,217-2820,10:01,0,,,,,$14.99 ,$14.99 ,,https://www.vexrobotics.com/versaplanetary.html,,,,,,,,,,,,,,,
,217-2816,Versa Gearbox Ring Gear Stage,0,,,,,$9.99 ,$9.99 ,,,,,,,,,,,,,,,,,
,217-6473,Versaplanetary v2 Base Kit 1:1 Universal Female Output Shaft,0,,,,,$44.99 ,$44.99 ,,https://www.vexrobotics.com/versaplanetary.html,,,,,,,,,,,,,,,
,217-3436,WCP Side Bearing Block Kit,0,Needing Reinv,,,,$24.99 ,,,,,,,,,,,,,,,,,,
,217-2731,"0.500"" ID x 1.125"" OD x 0.313"" WD (Flanged Bearing) FR8ZZ",59,,,,,$2.99 ,$2.99 ,,https://www.vexrobotics.com/bearings.html,,,,,,,,,,,,,,,
,CON-0002,,0,,,,,,,,,,,,,,,,,,,,,,,
,CON-0003,,0,,,,,,,,,,,,,,,,,,,,,,,
,CON-0005,,0,,,,,,,,,,,,,,,,,,,,,,,
,CON-0006,,0,,,,,,,,,,,,,,,,,,,,,,,
,CON-0007,,0,,,,,,,,,,,,,,,,,,,,,,,
,CON-0008,,0,,,,,,,,,,,,,,,,,,,,,,,
,CON-0009,,0,,,,,,,,,,,,,,,,,,,,,,,
,JCB-0004,,0,,,,,,,,,,,,,,,,,,,,,,,
,JCB-0002,PCM JST Board,0,,,,,$24.99 ,,,,,,,,,,,,,,,,,,
,PQ-PG08,,0,,,,,,,,,,,,,,,,,,,,,,,
,REV-11-2158,Spark Max,0,,,,,$75.00 ,,,,,,,,,,,,,,,,,,
,am-3155,2 in stealth wheels,0,,,,,$6.00 ,,,,,,,,,,,,,,,,,,
,IFB-10010,,0,,,,,,,,,,,,,,,,,,,,,,,
,17-846567,,0,,,,,,,,,,,,,,,,,,,,,,,
,855PB-B12ME522,,0,,,,,,,,,,,,,,,,,,,,,,,
,am-3082_wire,,0,,,,,,,,,,,,,,,,,,,,,,,
,14-886867,,0,,,,,,,,,,,,,,,,,,,,,,,
,am-3162,,0,,,,,,,,,,,,,,,,,,,,,,,
,16-737785,Pigeon IMU,2,,,,,$59.99 ,,,,,,,,,,,,,,,,,,
,217-3489,"0.250"" ID x 0.500"" OD x 0.188"" WD (Radial Bearing)",4,,,,,$2.99 ,,,,,,,,,,,,,,,,,,
,217-4002,"Hex  1/2"" Thunderhex stock 18 inches",13,,,,,,,,,,,,,,,,,,,,,,,
,217-5875,"24T x 9mm Wide Double Flange Aluminum Pulley (GT2 3mm  1/2"" Hex Bore)",2,,,,,$14.99 ,$14.99 ,,https://www.vexrobotics.com/gt2pulleys.html,,,,,,,,,,,,,,,
,217-5885,70T X 9nn Wide Timing Belt GT2 3mm,6,,,,,$7.99 ,$7.99 ,,https://www.vexrobotics.com/gt2-timingbelts.html,,,,,,,,,,,,,,,
,217-6626,"1/32"" Gray Tinted Polycarbonate Sheet (36"" x 72"")",0,,,,,$49.99 ,,,,,,,,,,,,,,,,,,
,217-6627,"1/16"" Gray Tinted Polycarbonate Sheet (36"" x 72"")",0,,,,,$84.99 ,$4.72 ,,https://www.vexrobotics.com/polycarbonate.html,,,,,,,,,,,,,,,
,1691T143,"Impact-Resistant Compact Tie Rod Air Cylinder
Round Face  Double Acting  1-1/16"" Bore  3/8"" Stroke",0,,,,,$70.15 ,,,,,,,,,,,,,,,,,,
,3014T450,"Steel Eyebolt with Shoulder - for Lifting
1/4""-20 Thread Size  1"" Thread Length",0,,,,,$3.21 ,$3.21 ,,https://www.mcmaster.com/3014t45,,,,,,,,,,,,,,,
,3014T902,"Steel Eyebolt with Shoulder - for Lifting 1/4""-20 Thread Size  3"" Thread Length",0,,,,,$12.42 ,,,,,,,,,,,,,,,,,,
,3499T110_SS,"Hanging Pulley for Rope-for Horizontal Pulling Single-Groove  Swivel Eye  for 1/4"" Diameter Rope",6,,,,,$32.25 ,$32.25 ,,https://www.mcmaster.com/3499t11,,,,,,,,,,,,,,,
,5234K61,"Super-Soft Latex Rubber Tubing for Air and Water
1"" ID  1-1/4"" OD",0,,,,,$3.86 ,,,,,,,,,,,,,,,,,,
,57155K321,Stainless Steel Ball Bearing  Flanged  Shielded  Trade Number R3-2Z,0,,,,,$6.72 ,,,,,,,,,,,,,,,,,,
,5972K159,Ball Bearing  Shielded  Trade No. 6806-2Z  for 30 mm Shaft Diameter,5,,,,,$20.63 ,,,,,,,,,,,,,,,,,,
,60355K41,"Ball Bearing  Shielded  Trade Number R2-2Z  for 1/8"" Shaft Diameter",0,,,,,$6.56 ,,,,,,,,,,,,,,,,,,
,60645K321,"Ball Joint Rod End  1/4""-28 Thread  Right Hand",0,,,,,$3.36 ,,,,,,,,,,,,,,,,,,
,8585K205,"1-1/4"""" OD  1-1/8"""" ID  Clear  8' Long Impact-Resistant Polycarbonate Round Tube",0,,,,,$23.31 ,,,,,,,,,,,,,,,,,,
,90295A320,Nylon Washers,0,,,,,$7.32 ,,,,,,,,,,,,,,,,,,
,91251A077,"Black-Oxide Alloy Steel Socket Head Screw  2-56 Thread Size  1/4"" Long",0,,,,,$6.98 ,$0.07 ,,,,,,,,,,,,,,,,,
,912841A003,,0,,,,,,,,,,,,,,,,,,,,,,,
,93330A613,"Female Threaded Round Standoff
Aluminum  3/8"" OD  3/4"" Long  10-32 Thread Size",0,,,,,$0.72 ,,,,,,,,,,,,,,,,,,
,97345A251,"316 Stainless Steel Shoulder Screw 3/8"" Shoulder Diameter  2"" Shoulder Length  1/4""-20 Thread",0,,,,,$11.34 ,$11.34 ,,,,,,,,,,,,,,,,,
,98381A556,"Dowel Pin 4037 Alloy Steel  1/4"" Diameter  1-1/8"" Long",0,,,,,$10.53 ,,,,,,,,,,,,,,,,,,
,90631A411,Low-Strength Steel Nylon-Insert Locknut  Zinc-Plated  10-32 Thread Size,100,,,,,$3.35 ,,,,,,,,,,,,,,,,,,
,am-1250,"screws for hex hub for 6"" wheel",24,,,,,,,,,,,,,,,,,,,,,,,
,am-2469h,"half hub for 6"" wheel",8,,,,,,,,,,,,,,,,,,,,,,,
,am-4124,hex hub insert,4,,,,,,,,,,,,,,,,,,,,,,,
