part_number,part_name,qty,threshold_qty,dependencies,verified_date,alt_part_nums,search_parms
90298A630,"""18-8 Stainless Steel Shoulder Screw 3/8"""" Shoulder Diameter 1-3/4"""" Shoulder Length 5/16""""-18 Thread""",0,0,,,,"90298A630 ""18-8 Stainless Steel Shoulder Screw 3/8"""" Shoulder Diameter 1-3/4"""" Shoulder Length 5/16""""-18 Thread"""
2342K163,"""Permanently Lubricated Ball Bearing Open Trade Number R4 for 1/4"""" Shaft Diameter""",0,0,,,,"2342K163 ""Permanently Lubricated Ball Bearing Open Trade Number R4 for 1/4"""" Shaft Diameter"""
2342K164,"""Permanently Lubricated Ball Bearing Open Trade Number R4A for 1/4"""" Shaft Diameter""",10,0,,,,"2342K164 ""Permanently Lubricated Ball Bearing Open Trade Number R4A for 1/4"""" Shaft Diameter"""
6435K12,"""Clamping Shaft Collar for 1/4"""" Diameter Black-Oxide 1215 Carbon Steel""",0,0,,,,"6435K12 ""Clamping Shaft Collar for 1/4"""" Diameter Black-Oxide 1215 Carbon Steel"""
21,,0,0,,,,21
100,,0,0,,,,100
92196A179,"""18-8 Stainless Steel Socket Head Screw 8-32 Thread Size 1-3/4"""" Long Fully Threaded""",21,0,,,,"92196A179 ""18-8 Stainless Steel Socket Head Screw 8-32 Thread Size 1-3/4"""" Long Fully Threaded"""
90044A119,"""Black-Oxide Alloy Steel Socket Head Screw 10-32 Thread Size 1-3/4"""" Long Fully Threaded""",21,0,,,,"90044A119 ""Black-Oxide Alloy Steel Socket Head Screw 10-32 Thread Size 1-3/4"""" Long Fully Threaded"""
92949A837,"""18-8 Stainless Steel Button Head Hex Drive Screw 1/4""""-20 Thread Size 1-5/8"""" Long""",16,0,,,,"92949A837 ""18-8 Stainless Steel Button Head Hex Drive Screw 1/4""""-20 Thread Size 1-5/8"""" Long"""
91831A009,18-8 Stainless Steel Nylon-Insert Locknut 8-32 Thread Size,94,0,,,,91831A009 18-8 Stainless Steel Nylon-Insert Locknut 8-32 Thread Size
91251A079,"""Black-Oxide Alloy Steel Socket Head Screw 2-56 Thread Size 3/8"""" Long""",0,0,,,,"91251A079 ""Black-Oxide Alloy Steel Socket Head Screw 2-56 Thread Size 3/8"""" Long"""
9271K677,"""Torsion Spring 180 Degree Right-Hand Wound 0.556"""" OD""",0,0,,,,"9271K677 ""Torsion Spring 180 Degree Right-Hand Wound 0.556"""" OD"""
9271K612,"""Torsion Spring 180 Degree Left-Hand Wound 0.556"""" OD""",0,0,,,,"9271K612 ""Torsion Spring 180 Degree Left-Hand Wound 0.556"""" OD"""
276-4858,VEX Bumper Switch,12,0,,,,276-4858 VEX Bumper Switch
217-2952,SMC SS5Y3-41-04-N7T 4 Station Base Mount,2,0,,,,217-2952 SMC SS5Y3-41-04-N7T 4 Station Base Mount
217-3636,PTO add-on kit. Power take off. WCP,6,0,,,,217-3636 PTO add-on kit. Power take off. WCP
217-3635,Output shaft standard WCP,3,0,,1/13/2022 20:50,,217-3635 Output shaft standard WCP
217-5881,45T x 9mm Wide Timing Belt (GT2 3mm),2,0,,1/13/2022 20:50,,217-5881 45T x 9mm Wide Timing Belt (GT2 3mm)
1128930,Screw machine pan philip 8-32 x 3,29,0,,,,1128930 Screw machine pan philip 8-32 x 3
2621,Hex Lock nut w/ nylon insert. Size 8-32. Nylock,56,0,,,,2621 Hex Lock nut w/ nylon insert. Size 8-32. Nylock
1-THN-8C,Thin nylon insert nuts 8-32,90,0,,,,1-THN-8C Thin nylon insert nuts 8-32
ee0zzm3,bearing. koyo. jtekt,8,0,,,,ee0zzm3 bearing. koyo. jtekt
217-2592,"""Versa hub. 1/2"""" hex""",18,0,,,,"217-2592 ""Versa hub. 1/2"""" hex"""
217-2584,"""Wheel omni. 4""""""",1,0,,1/11/2022 20:18,,"217-2584 ""Wheel omni. 4"""""""
217-4046,"""Wheel colson. 2.5"""" x 1.25"""" x .5"""" hex bore""",17,0,,1/11/2022 20:18,,"217-4046 ""Wheel colson. 2.5"""" x 1.25"""" x .5"""" hex bore"""
AM-3155,"""wheel 2"""" 1/2"""" hex black stealth 50 dur""",4,0,,,,"AM-3155 ""wheel 2"""" 1/2"""" hex black stealth 50 dur"""
AM-3949,"""wheel 2.25"""" compliant 1/2"""" hex orange 40 dur""",4,0,,,,"AM-3949 ""wheel 2.25"""" compliant 1/2"""" hex orange 40 dur"""
am-3951,"""wheel 2"""" 1/2"""" hex green omni""",7,0,,,,"am-3951 ""wheel 2"""" 1/2"""" hex green omni"""
am-3953,"""wheel 2"""" 1/2"""" hex gray omni""",4,0,,,,"am-3953 ""wheel 2"""" 1/2"""" hex gray omni"""
217-6439,chain #25h roller 10ft,11,0,,,,217-6439 chain #25h roller 10ft
CHN-0005,chain #25h half-link 5 pack,10,0,,,,CHN-0005 chain #25h half-link 5 pack
217-6477,chain #25h master-link 5 pack,28,0,,1/13/2022 21:04,,217-6477 chain #25h master-link 5 pack
WCP-0200,"""Friction Brake (3/8"""" & 1/2"""" Hex)""",12,0,,1/13/2022 21:04,,"WCP-0200 ""Friction Brake (3/8"""" & 1/2"""" Hex)"""
63-620,End Mill - 0250x0.375x0.250x2.000 - 1,3,0,,,,63-620 End Mill - 0250x0.375x0.250x2.000 - 1
63-614,End Mill - 0.187x0.375x0.250x2.000-1,3,0,,,,63-614 End Mill - 0.187x0.375x0.250x2.000-1
63-604,End Mill - 0.125x0.250x0.125x1.500-1,3,0,,,,63-604 End Mill - 0.125x0.250x0.125x1.500-1
63-625,End Mill - 0.375x0.750x0.375x3.000-1,3,0,,,,63-625 End Mill - 0.375x0.750x0.375x3.000-1
X003MYLHKP,1/2inch Shank 2inch Cutting Diameter slab flattening Router Bit Planing Bit Wood Milling Cutter Planer Woodworking Tool,1,0,,,,X003MYLHKP 1/2inch Shank 2inch Cutting Diameter slab flattening Router Bit Planing Bit Wood Milling Cutter Planer Woodworking Tool
TC64708,1/8 SE 2FL RAD-0.010 ZRN,3,0,,,,TC64708 1/8 SE 2FL RAD-0.010 ZRN
TC62408,3/8 SE 2FL STUB - ALUM RAD-0.0020 ZRN,2,0,,,,TC62408 3/8 SE 2FL STUB - ALUM RAD-0.0020 ZRN
TC62400,1/8 SE 2FL STUB -ALUM RD-0.010 ZRN,5,0,,,,TC62400 1/8 SE 2FL STUB -ALUM RD-0.010 ZRN
TC64716,1/4 SE 2FL RAD-0.020 ZRN,1,0,,,,TC64716 1/4 SE 2FL RAD-0.020 ZRN
CRP-ARF-2-8ZN,"""1/4in Ball End Mill 2 Flute DIA=1/4in FL=3/4 OAL=2-1/2"""" SHK=1/4""""""",1,0,,,,"CRP-ARF-2-8ZN ""1/4in Ball End Mill 2 Flute DIA=1/4in FL=3/4 OAL=2-1/2"""" SHK=1/4"""""""
CRP-AG-2-8ZN,"""1/4in Square End Mill 2 Flue DIA=1/4"""" FL=3/4"""" OAL=2-1/2"""" SHK = 1/4""""""",1,0,,,,"CRP-AG-2-8ZN ""1/4in Square End Mill 2 Flue DIA=1/4"""" FL=3/4"""" OAL=2-1/2"""" SHK = 1/4"""""""
TC62410,1/2 SE 2FL STUB - ALUM RAD-0.040ZRN,2,0,,,,TC62410 1/2 SE 2FL STUB - ALUM RAD-0.040ZRN
49J744,Cylin 1-1/16in Bore 1in Stroke,8,0,,,,49J744 Cylin 1-1/16in Bore 1in Stroke
217-3573,"""54T Aluminum Spur Gear (20 DP 1/2"""" Hex Bore)""",5,0,,1/13/2022 21:04,,"217-3573 ""54T Aluminum Spur Gear (20 DP 1/2"""" Hex Bore)"""
